;or;ex;weight
265;4_t1;27_t2;15.579704284667969
266;5_t1;0_t2;15.371094703674316
267;5_t1;1_t2;14.78490161895752
268;5_t1;3_t2;16.04669952392578
269;5_t1;4_t2;15.414306640625
270;5_t1;5_t2;15.280320167541504
271;5_t1;7_t2;15.579704284667969
272;5_t1;8_t2;15.579704284667969
273;5_t1;10_t2;15.579704284667969
274;5_t1;11_t2;15.579704284667969
275;5_t1;15_t2;11.994483947753906
276;5_t1;16_t2;15.579704284667969
277;5_t1;17_t2;15.579704284667969
278;5_t1;25_t2;15.579704284667969
279;5_t1;26_t2;15.579704284667969
280;6_t1;0_t2;15.371094703674316
281;6_t1;2_t2;12.522486686706543
282;6_t1;6_t2;12.37807846069336
283;6_t1;7_t2;15.579704284667969
284;6_t1;8_t2;15.579704284667969
285;6_t1;9_t2;11.965773582458496
286;6_t1;12_t2;15.579704284667969
287;6_t1;13_t2;15.579704284667969
288;6_t1;15_t2;11.994483947753906
289;6_t1;18_t2;15.579704284667969
290;6_t1;19_t2;15.579704284667969
291;6_t1;21_t2;15.579704284667969
292;6_t1;22_t2;15.579704284667969
293;6_t1;25_t2;15.579704284667969
294;6_t1;26_t2;15.579704284667969
295;7_t1;0_t2;15.371094703674316
296;7_t1;1_t2;14.78490161895752
297;7_t1;3_t2;16.04669952392578
298;7_t1;5_t2;15.280320167541504
299;7_t1;6_t2;12.37807846069336
300;7_t1;7_t2;15.579704284667969
301;7_t1;10_t2;15.579704284667969
302;7_t1;14_t2;15.974553108215332
303;7_t1;16_t2;15.579704284667969
304;7_t1;18_t2;15.579704284667969
305;7_t1;20_t2;15.579704284667969
306;7_t1;23_t2;15.579704284667969
307;7_t1;27_t2;15.579704284667969
308;7_t1;28_t2;15.579704284667969
309;8_t1;0_t2;15.371094703674316
310;8_t1;1_t2;14.78490161895752
311;8_t1;4_t2;15.414306640625
312;8_t1;5_t2;15.280320167541504
313;8_t1;6_t2;12.37807846069336
314;8_t1;8_t2;15.579704284667969
315;8_t1;11_t2;15.579704284667969
316;8_t1;14_t2;15.974553108215332
317;8_t1;17_t2;15.579704284667969
318;8_t1;19_t2;15.579704284667969
319;8_t1;20_t2;15.579704284667969
320;8_t1;23_t2;15.579704284667969
321;8_t1;27_t2;15.579704284667969
322;8_t1;28_t2;15.579704284667969
323;10_t1;0_t2;15.371094703674316
324;10_t1;1_t2;14.78490161895752
325;10_t1;3_t2;16.04669952392578
326;10_t1;5_t2;15.280320167541504
327;10_t1;7_t2;15.579704284667969
328;10_t1;9_t2;11.965773582458496
329;10_t1;10_t2;15.579704284667969
330;10_t1;14_t2;15.974553108215332
331;10_t1;16_t2;15.579704284667969
332;10_t1;20_t2;15.579704284667969
333;10_t1;21_t2;15.579704284667969
334;10_t1;23_t2;15.579704284667969
335;10_t1;27_t2;15.579704284667969
336;10_t1;29_t2;15.579704284667969
337;11_t1;0_t2;15.371094703674316
338;11_t1;1_t2;14.78490161895752
339;11_t1;4_t2;15.414306640625
340;11_t1;5_t2;15.280320167541504
341;11_t1;8_t2;15.579704284667969
342;11_t1;9_t2;11.965773582458496
343;11_t1;11_t2;15.579704284667969
344;11_t1;14_t2;15.974553108215332
345;11_t1;17_t2;15.579704284667969
346;11_t1;20_t2;15.579704284667969
347;11_t1;22_t2;15.579704284667969
348;11_t1;23_t2;15.579704284667969
349;11_t1;27_t2;15.579704284667969
350;11_t1;29_t2;15.579704284667969
351;16_t1;0_t2;15.371094703674316
352;16_t1;1_t2;14.78490161895752
353;16_t1;3_t2;16.04669952392578
354;16_t1;5_t2;15.280320167541504
355;16_t1;7_t2;15.579704284667969
356;16_t1;10_t2;15.579704284667969
357;16_t1;14_t2;15.974553108215332
358;16_t1;15_t2;11.994483947753906
359;16_t1;16_t2;15.579704284667969
360;16_t1;20_t2;15.579704284667969
361;16_t1;23_t2;15.579704284667969
362;16_t1;25_t2;15.579704284667969
363;16_t1;27_t2;15.579704284667969
364;16_t1;30_t2;15.579704284667969
365;17_t1;0_t2;15.371094703674316
366;17_t1;1_t2;14.78490161895752
367;17_t1;4_t2;15.414306640625
368;17_t1;5_t2;15.280320167541504
369;17_t1;8_t2;15.579704284667969
370;17_t1;11_t2;15.579704284667969
371;17_t1;14_t2;15.974553108215332
372;17_t1;15_t2;11.994483947753906
373;17_t1;17_t2;15.579704284667969
374;17_t1;20_t2;15.579704284667969
375;17_t1;23_t2;15.579704284667969
376;17_t1;26_t2;15.579704284667969
377;17_t1;27_t2;15.579704284667969
378;17_t1;30_t2;15.579704284667969
379;18_t1;0_t2;15.371094703674316
380;18_t1;2_t2;12.522486686706543
381;18_t1;6_t2;12.37807846069336
382;18_t1;7_t2;15.579704284667969
383;18_t1;9_t2;11.965773582458496
384;18_t1;12_t2;15.579704284667969
385;18_t1;15_t2;11.994483947753906
386;18_t1;18_t2;15.579704284667969
387;18_t1;20_t2;15.579704284667969
388;18_t1;21_t2;15.579704284667969
389;18_t1;24_t2;15.579704284667969
390;18_t1;25_t2;15.579704284667969
391;18_t1;28_t2;15.579704284667969
392;18_t1;29_t2;15.579704284667969
393;18_t1;30_t2;15.579704284667969
394;19_t1;0_t2;15.371094703674316
395;19_t1;2_t2;12.522486686706543
396;19_t1;6_t2;12.37807846069336
397;19_t1;8_t2;15.579704284667969
398;19_t1;9_t2;11.965773582458496
399;19_t1;13_t2;15.579704284667969
400;19_t1;15_t2;11.994483947753906
401;19_t1;19_t2;15.579704284667969
402;19_t1;20_t2;15.579704284667969
403;19_t1;22_t2;15.579704284667969
404;19_t1;24_t2;15.579704284667969
405;19_t1;26_t2;15.579704284667969
406;19_t1;28_t2;15.579704284667969
407;19_t1;29_t2;15.579704284667969
408;19_t1;30_t2;15.579704284667969
409;9_t1;1_t2;14.78490161895752
